number_of_vehicles,speed_limit,hour,month,day_of_week,first_road_class,road_type,junction_detail,junction_control,second_road_class,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,cluster
2,30,14,11,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,6,5,Monday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,1,1
2,30,19,9,Thursday,C,Single carriageway,Other junction,Unknown,6,15,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,17,4,Thursday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
3,30,10,3,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,5,7,Friday,A,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,11,Wednesday,Unclassified,Single carriageway,Crossroads,Automatic traffic signal,6,12,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
1,30,0,9,Sunday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Rural,2,1
2,30,6,4,Sunday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,8,2,Wednesday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,17,12,Sunday,Unclassified,Single carriageway,Crossroads,Automatic traffic signal,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
3,20,16,5,Monday,Unclassified,Slip road,Other junction,Unknown,6,0,Daylight,Raining + high winds,Wet or damp,3,12,Urban,2,1
2,40,16,5,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,0
2,30,20,11,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,60,12,10,Sunday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,40,18,1,Sunday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,14,Darkness - lights lit,Snowing no high winds,Wet or damp,0,0,Urban,2,1
1,70,17,9,Wednesday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
