feature,mutual_information,tree_importance_aggregated,yearly_mi_range_2021_2024,selection_status
urban_or_rural_area,0.00535485573333888,0.3407781187357177,0.001013278879841946,provisional_core
number_of_vehicles,0.008131861141296368,0.21521840678352452,0.0017122814654887313,provisional_core
speed_limit,0.007640997663317637,0.11308247046303761,0.001144703134364369,provisional_core
light_conditions,0.002891009402248405,0.06580385842780014,0.0007864555347207223,provisional_core
junction_control,0.005800781107361928,0.05897396062352773,0.0014463415136344885,provisional_core
road_type,0.0045978865138564294,0.034116403069989136,0.001366829589512228,provisional_core
first_road_class,0.001257921768160321,0.03227956735397839,0.0004449986887388249,provisional_core
pedestrian_crossing,0.004517187310967674,0.03041749036595227,0.0025131491621107668,provisional_core
trunk_road_flag,0.0037443864424212773,0.024313932005613225,0.0015736217770101653,provisional_core
hour,0.0023457140851287214,0.016995168757767846,0.0003093288695451852,provisional_core
junction_detail,0.0030519812658439806,0.016192914207164896,0.0022203989477192054,provisional_core
carriageway_hazards,0.0024373953944176728,0.014669919838191263,0.0024696796828964883,provisional_core
second_road_class,0.0033283307824499234,0.011683700304293325,0.0009641458394086836,provisional_core
month,0.0002839587334106386,0.0076301817710778975,0.0002436558597141399,provisional_core
day_of_week,0.0007087420589299738,0.006684299663723327,0.000308810695528133,provisional_core
weather_conditions,0.0018761124123445726,0.006551946615790881,0.0006321567864477618,provisional_core
road_surface_conditions,0.0019071768022125147,0.0029937879821148416,0.0017491620136215777,provisional_core
special_conditions_at_site,0.0033809701255693957,0.001613873030734953,0.005606537994852268,provisional_core
