rank,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mean_macro_f1,std_macro_f1,split0_macro_f1,split1_macro_f1,split2_macro_f1,split3_macro_f1,split4_macro_f1
1,200,25,10,1,sqrt,0.400949795497049,0.009354445233430984,0.39551712984100557,0.3860299809625897,0.40577294293168914,0.4041553683710119,0.41327355537894866
2,400,,2,2,sqrt,0.3988011186484796,0.010526600292103953,0.40399629035178775,0.3828243747181204,0.39497434738222514,0.3974319293173248,0.41477865147294013
3,200,15,5,2,log2,0.39828104327232855,0.014610701134691803,0.39528233193584716,0.41606841763677443,0.3852728600131055,0.3804913641078078,0.4142902426681078
4,400,15,10,1,sqrt,0.3977183057691862,0.013340942930896816,0.3923146605827718,0.4074974416357459,0.38728450772786666,0.3828888869113302,0.4186060319882163
5,200,25,10,4,sqrt,0.3950066199056272,0.014885953155979337,0.39867987885107525,0.40845039337876177,0.3777321490932491,0.3775452365506417,0.4126254416544082
6,200,25,10,2,log2,0.3948180318091771,0.016686807647013885,0.40168540413291715,0.37746884108876794,0.380689615731111,0.3906664093234018,0.42357988876968733
7,300,25,10,4,log2,0.3943039505229906,0.015272817747912316,0.40289931202385104,0.41268974261971975,0.3742776726084435,0.3779980235955298,0.403655001767409
8,400,,5,4,log2,0.3938195824618015,0.013579092238799129,0.39964760097587426,0.40327069536890287,0.3816706234744401,0.37427988636099735,0.4102291061287929
9,400,10,5,1,log2,0.37745450909463973,0.012918245950328144,0.3763516227394906,0.38942945109953603,0.3644029813748675,0.362465184635319,0.39462330562398534
10,500,10,2,2,sqrt,0.3746266758532561,0.013020365811168872,0.3831902913307165,0.383996231697812,0.3615272835638909,0.3563471138903613,0.38807245878349983
11,300,10,10,2,log2,0.3714308742209503,0.009934824026959738,0.3725613291095243,0.3813433538674525,0.3632654701934553,0.3572808040106928,0.38270341392362656
12,200,10,10,2,log2,0.37115417201930356,0.008079924763091193,0.3690605729947314,0.37601877977439996,0.36242558667115926,0.36402247582829395,0.38424344482793343
